timestamp,shipment_id,num_signals_triggered,risk_rating,message
2026-08-25T17:33:31,TEST-0000,3,Medium,DISRUPTION ALERT -- shipment TEST-0000: 3 of 6 signals confirmed (Medium risk). test reasoning
2026-08-25T20:04:59,TEST-0000,3,Medium,DISRUPTION ALERT -- shipment TEST-0000: 3 of 6 signals confirmed (Medium risk). test reasoning
2026-08-25T20:18:26,TEST-0000,3,Medium,DISRUPTION ALERT -- shipment TEST-0000: 3 of 6 signals confirmed (Medium risk). test reasoning
2026-08-26T00:43:11,TEST-0000,3,Medium,DISRUPTION ALERT -- shipment TEST-0000: 3 of 6 signals confirmed (Medium risk). test reasoning
2026-08-26T00:43:17,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T00:43:20,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T00:43:23,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T00:43:26,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T00:43:29,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T00:43:32,SHP-2201,2,Medium,"DISRUPTION ALERT -- shipment SHP-2201: 2 of 6 signals confirmed (Medium risk). 2 of 6 signals triggered for shipment SHP-2201 (origin: Poco Fundo): regional_news, supplier_email_warning. Risk confirmed (rule: at least 2 signals must agree) -- rated Medium, with an estimated 10% cost increase and 2-week delay."
2026-08-26T08:50:27,TEST-0000,3,Medium,DISRUPTION ALERT -- shipment TEST-0000: 3 of 6 signals confirmed (Medium risk). test reasoning
